Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-11-16;2.570;2.590,5;2.569,75;2.586,25;;
2017-11-15;2.571,5;2.574,25;2.558;2.565,75;;
2017-11-14;2.583,5;2.584,5;2.566,75;2.579,75;;
2017-11-13;2.585,5;2.587,25;2.572,75;2.583;;
2017-11-10;2.586;2.588,5;2.574;2.580,75;;
2017-11-09;2.596,25;2.597,5;2.566,5;2.586,25;;
2017-11-08;2.587;2.595,75;2.585,25;2.594,25;;
2017-11-07;2.593,5;2.596,75;2.584,75;2.589,5;;
2017-11-06;2.584,75;2.593;2.579,25;2.591,75;;
2017-11-03;2.580,5;2.588,25;2.577;2.584,25;;
2017-11-02;2.569,75;2.581,5;2.566,25;2.580,5;;
2017-11-01;2.579,25;2.588,5;2.574,25;2.575,25;;
2017-10-31;2.572;2.578;2.571,5;2.574,5;;
2017-10-30;2.576,75;2.579,75;2.568,25;2.570;;
2017-10-28;2.580;2.580;2.580;2.580;;
2017-10-27;2.560,5;2.582,75;2.560,5;2.580;;
2017-10-26;2.561,75;2.567,25;2.558,5;2.564,25;;
2017-10-25;2.566,25;2.568,5;2.544,25;2.562,25;;
2017-10-24;2.567,75;2.572,5;2.565,5;2.567,25;;
2017-10-23;2.578;2.579,75;2.564,5;2.565,5;;
2017-10-22;2.575,5;2.575,5;2.575,5;2.575,5;;
2017-10-21;2.575,5;2.575,5;2.575,5;2.575,5;;
2017-10-20;2.562,5;2.576,5;2.562,5;2.575,5;;
2017-10-19;2.562;2.563,75;2.545,25;2.563,5;;
2017-10-18;2.559,75;2.564,75;2.559,5;2.562,75;;
2017-10-17;2.558,5;2.560;2.554,75;2.559;;
2017-10-16;2.557,25;2.559,5;2.553,25;2.558,25;;
2017-10-14;2.554,75;2.554,75;2.554,75;2.554,75;;
2017-10-13;2.550,25;2.557,5;2.550;2.555;;
2017-10-12;2.553;2.555,25;2.548,75;2.551;;
2017-10-11;2.551,25;2.555,5;2.547;2.554,75;;
2017-10-10;2.548;2.555,25;2.545,5;2.551,5;;
2017-10-09;2.549;2.552,5;2.541,75;2.545,5;;
2017-10-06;2.552;2.552,25;2.544;2.547;;
2017-10-05;2.538;2.552,75;2.537,25;2.551,5;;
2017-10-04;2.534,75;2.540,75;2.532,5;2.539;;
2017-10-03;2.528,5;2.532,25;2.528,5;2.532;;
2017-10-02;2.521,75;2.530,75;2.520,5;2.530,75;;





